left_unit_id,right_unit_id,pair_scope,left_containment,right_containment,matching_shingles,exact_normalized_text,preferred_unit_id,decision_effect
wikisource:record:itws:484115,bibit:sonnet:bibit000532:sonnet_0526,sonnet_cross_role,0.736364,0.835052,81,false,bibit:sonnet:bibit000532:sonnet_0526,segment_quarantine_7b
wikisource:record:itws:518160,bibit:sonnet:bibit000524:sonnet_0227,sonnet_cross_role,0.905660,0.923077,96,false,bibit:sonnet:bibit000524:sonnet_0227,exclude_role_mismatch
wikisource:record:itws:742777,bibit:sonnet:bibit000831:sonnet_0108,sonnet_cross_role,0.957895,1.000000,91,false,bibit:sonnet:bibit000831:sonnet_0108,exclude_role_mismatch
wikisource:record:itws:746025,v6:sonnet:cecco_lx_io_combattei_con_amor_ed_hol_morto,sonnet_cross_role,0.808696,0.920792,93,false,v6:sonnet:cecco_lx_io_combattei_con_amor_ed_hol_morto,exclude_role_mismatch
wikisource:record:itws:746043,v6:sonnet:cecco_lxxv_in_una_ch_e_danar_mi_danno_meno,sonnet_cross_role,0.680000,0.858586,85,false,v6:sonnet:cecco_lxxv_in_una_ch_e_danar_mi_danno_meno,segment_quarantine_7b
wikisource:record:itws:746049,v6:sonnet:cecco_cxv_con_gran_malinconia_sempre_istò,sonnet_cross_role,0.688073,0.824176,75,false,v6:sonnet:cecco_cxv_con_gran_malinconia_sempre_istò,segment_quarantine_7b
wikisource:record:itws:746051,v6:sonnet:cecco_lxxxi_per_sì_gran_somma_ho_mpegnate_le_risa,sonnet_cross_role,0.730435,0.884211,84,false,v6:sonnet:cecco_lxxxi_per_sì_gran_somma_ho_mpegnate_le_risa,segment_quarantine_7b
wikisource:record:itws:754073,wikisource:sonnet:itws:847571:sonnet0001,sonnet_cross_role,0.021049,0.890625,114,false,wikisource:sonnet:itws:847571:sonnet0001,segment_quarantine_7b
wikisource:record:itws:754073,wikisource:sonnet:itws:847571:sonnet0002,sonnet_cross_role,0.021233,0.942623,115,false,wikisource:sonnet:itws:847571:sonnet0002,segment_quarantine_7b
wikisource:record:itws:826718,bibit:sonnet:bibit001172:structural_0320,sonnet_cross_role,0.105121,0.821053,78,false,bibit:sonnet:bibit001172:structural_0320,segment_quarantine_7b
wikisource:record:itws:826718,bibit:sonnet:bibit001172:structural_0324,sonnet_cross_role,0.114555,0.913978,85,false,bibit:sonnet:bibit001172:structural_0324,segment_quarantine_7b
wikisource:record:itws:826718,bibit:sonnet:bibit001172:structural_0325,sonnet_cross_role,0.106469,0.908046,79,false,bibit:sonnet:bibit001172:structural_0325,segment_quarantine_7b
wikisource:record:itws:826728,bibit:sonnet:bibit000949:sonnet_0007,sonnet_cross_role,0.831461,0.860465,74,false,bibit:sonnet:bibit000949:sonnet_0007,exclude_role_mismatch
wikisource:record:itws:826919,bibit:sonnet:bibit000099:sonnet_0393,sonnet_cross_role,1.000000,1.000000,100,true,bibit:sonnet:bibit000099:sonnet_0393,exclude_role_mismatch
wikisource:record:itws:826944,wikisource:sonnet:itws:976431:sonnet0001,sonnet_cross_role,0.082860,0.901235,73,false,wikisource:sonnet:itws:976431:sonnet0001,segment_quarantine_7b
wikisource:record:itws:826952,wikisource:sonnet:itws:987480:sonnet0001,sonnet_cross_role,0.120846,1.000000,80,false,wikisource:sonnet:itws:987480:sonnet0001,segment_quarantine_7b
wikisource:record:itws:827086,bibit:sonnet:bibit001111:sonnet_0010,sonnet_cross_role,0.773913,0.839623,89,false,bibit:sonnet:bibit001111:sonnet_0010,segment_quarantine_7b
wikisource:record:itws:82994,v6:sonnet:cecco_xi_e_m_è_sì_malamente_rincresciuto,sonnet_cross_role,0.680328,0.838384,83,false,v6:sonnet:cecco_xi_e_m_è_sì_malamente_rincresciuto,segment_quarantine_7b
wikisource:record:itws:838040,wikisource:sonnet:itws:827018:sonnet0001,sonnet_cross_role,0.049299,0.969388,95,false,wikisource:sonnet:itws:827018:sonnet0001,segment_quarantine_7b
wikisource:record:itws:882555,bibit:sonnet:bibit000364:sonnet_0075,sonnet_cross_role,0.888889,0.916667,88,false,bibit:sonnet:bibit000364:sonnet_0075,exclude_role_mismatch
wikisource:record:itws:970093,bibit:sonnet:bibit000807:structural_0085,sonnet_cross_role,0.061958,0.877193,50,false,bibit:sonnet:bibit000807:structural_0085,segment_quarantine_7b
wikisource:record:itws:975995,bibit:sonnet:bibit001002:sonnet_0014,sonnet_cross_role,0.826087,0.826087,76,false,bibit:sonnet:bibit001002:sonnet_0014,exclude_role_mismatch
