object_id,title,authors,assigned_role,audited_route,source_audit_status,source_audit_flags,decision,final_role,cleaning_policy,included_characters,duplicate_of_object_id,reason,landing_page_url,tei_sha256
bibit001173,Relazione di Francia di Pietro Contarini (1613 al 1616),"Contarini, Pietro",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,56006,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001173,ed2deb5cc1a29dbfde9a8fb09feae70d771f019c5e042c6f8e0c6bd90dcb5c3c
bibit000853,Relazione di Costantinopoli (1612),"Contarini, Simone",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,296120,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000853,9772b2c92ba35e102082f49a3a7fdcde6176659772069c5224f698d9ea7be45c
bibit001608,Relazione di Germania,"Contarini, Tommaso",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,106851,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001608,a1957b7e1b6ff24b696c3f26eb7a9bf2e0947a94dc5bfd3bac999738f49fc927
bibit000719,Ragionamento sopra la proprietà delle imprese,"Contile, Luca",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,409644,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000719,d7ff5460aee5cc3915e4938233fbee7caef095522d5c0bfe2c858cd294a75847
bibit000664,Relazione di Germania (1690),"Corner, Federico",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,96087,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000664,0263bf1f3e00a2050a80d59b760142b308d0611fe10b5fb8cd5cc4b95b931cd3
bibit000209,Relazione di Germania,"Corraro, Giovanni",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,93036,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000209,59557d80b8c725e82ac32d174c130369e8f4b25a17b094c9585380665b7d67cc
bibit000918,Relazione di Francia di Angelo Correr (1638-1641),"Correr, Angelo",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,69316,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000918,87a6656b55c99b7aa6f03cb16ed62888011a9b97b487e946fbcd547e7a5d32b4
bibit000335,Avertimenti nel poetare,"Cortese, Giulio",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,27811,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000335,fa7ff096cbbf8f877ca475b1179c682976297eb4b9432c4df70a8b8a176159c4
bibit001359,Lezioni del sonetto,"Crispolti, Cesare",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,18906,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001359,c8b77a2cd9621595fdf657c7f6c4a9fd88586a8415f296f4fd37ecac6ad2f053
bibit000143,Le piacevoli e ridicolose simplicità di Bertoldino,"Croce, Giulio Cesare",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,118327,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000143,880fe8a4ab6dfdaa4d0d61ebc2f0d735366af5611750b0669d3218ebdab23c3f
bibit000151,Le sottilissime astuzie di Bertoldo,"Croce, Giulio Cesare",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,105434,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000151,80495d9f547d4f274f0a021229343c29584ae949c2d0acd2b0ae33575fee88c6
bibit000781,Saggio storico sulla rivoluzione napoletana del 1799,"Cuoco, Vincenzo",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,389749,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000781,d0bb4c7afcfaaecd3514faa72923750ed7a62e909bbcdd92c40ef3c288b99c37
